GPCD,Tem,Pre,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,Year,Byear,Month,Q1,Q2,Q3
118.9781651,17.59857,1.24542,1,0,0,0,0,0,0,0,0,0,0,0,1991,2004,1,0,0,0
130.9297413,22.65873,0.67129,0,1,0,0,0,0,0,0,0,0,0,0,1991,2004,2,0,0,0
128.3109735,20.64516,1.08155,0,0,1,0,0,0,0,0,0,0,0,0,1991,2004,3,1,0,0
162.8522163,27.74074,0,0,0,0,1,0,0,0,0,0,0,0,0,1991,2004,4,1,0,0
193.3424038,32.00717,0,0,0,0,0,1,0,0,0,0,0,0,0,1991,2004,5,1,0,0
211.5888613,36.66667,0.06773,0,0,0,0,0,1,0,0,0,0,0,0,1991,2004,6,0,1,0
218.218872,37.50896,0.53258,0,0,0,0,0,0,1,0,0,0,0,0,1991,2004,7,0,1,0
196.1198253,36.97133,2.58916,0,0,0,0,0,0,0,1,0,0,0,0,1991,2004,8,0,1,0
181.364552,34.48148,0.14393,0,0,0,0,0,0,0,0,1,0,0,0,1991,2004,9,0,0,1
178.8921082,30.91398,0.58994,0,0,0,0,0,0,0,0,0,1,0,0,1991,2004,10,0,0,1
141.3426894,22.24074,0.82127,0,0,0,0,0,0,0,0,0,0,1,0,1991,2004,11,0,0,1
122.4251639,17.92115,1.07335,0,0,0,0,0,0,0,0,0,0,0,1,1991,2004,12,0,0,0
125.2084524,16.98925,0.84394,1,0,0,0,0,0,0,0,0,0,0,0,1992,2004,1,0,0,0
129.6072441,22.32143,1.50586,0,1,0,0,0,0,0,0,0,0,0,0,1992,2004,2,0,0,0
133.536256,22.34767,1.84355,0,0,1,0,0,0,0,0,0,0,0,0,1992,2004,3,1,0,0
164.2536004,31.5,0.57573,0,0,0,1,0,0,0,0,0,0,0,0,1992,2004,4,1,0,0
181.7798585,32.75986,0.49981,0,0,0,0,1,0,0,0,0,0,0,0,1992,2004,5,1,0,0
217.5308727,38.38889,0,0,0,0,0,0,1,0,0,0,0,0,0,1992,2004,6,0,1,0
209.1226532,38.36918,1.60594,0,0,0,0,0,0,1,0,0,0,0,0,1992,2004,7,0,1,0
185.6509734,37.02509,2.19587,0,0,0,0,0,0,0,1,0,0,0,0,1992,2004,8,0,1,0
191.6782184,36.88889,0.2286,0,0,0,0,0,0,0,0,1,0,0,0,1992,2004,9,0,0,1
177.6212161,32.34767,0.01639,0,0,0,0,0,0,0,0,0,1,0,0,1992,2004,10,0,0,1
155.2811038,21.92593,0,0,0,0,0,0,0,0,0,0,0,1,0,1992,2004,11,0,0,1
118.5424052,17.18638,2.94968,0,0,0,0,0,0,0,0,0,0,0,1,1992,2004,12,0,0,0
114.5270845,18.79928,4.572,1,0,0,0,0,0,0,0,0,0,0,0,1993,2004,1,0,0,0
118.6460573,19.10714,1.98664,0,1,0,0,0,0,0,0,0,0,0,0,1993,2004,2,0,0,0
139.9886995,25.08961,0.47523,0,0,1,0,0,0,0,0,0,0,0,0,1993,2004,3,1,0,0
178.4043512,30.05556,0,0,0,0,1,0,0,0,0,0,0,0,0,1993,2004,4,1,0,0
206.1268011,33.15412,0.48342,0,0,0,0,1,0,0,0,0,0,0,0,1993,2004,5,1,0,0
227.6528194,39.05556,0.00847,0,0,0,0,0,1,0,0,0,0,0,0,1993,2004,6,0,1,0
224.4587225,38.27957,0.26219,0,0,0,0,0,0,1,0,0,0,0,0,1993,2004,7,0,1,0
188.2072065,36.73835,2.68748,0,0,0,0,0,0,0,1,0,0,0,0,1993,2004,8,0,1,0
181.3708669,39.05556,0.56727,0,0,0,0,0,0,0,0,1,0,0,0,1993,2004,9,0,0,1
160.8218953,29.6595,0.41787,0,0,0,0,0,0,0,0,0,1,0,0,1993,2004,10,0,0,1
139.1981739,23.90741,1.10913,0,0,0,0,0,0,0,0,0,0,1,0,1993,2004,11,0,0,1
127.6752289,19.0681,0.1229,0,0,0,0,0,0,0,0,0,0,0,1,1993,2004,12,0,0,0
131.6299988,20.10753,0,1,0,0,0,0,0,0,0,0,0,0,0,1994,2004,1,0,0,0
122.1164082,20.07937,1.07731,0,1,0,0,0,0,0,0,0,0,0,0,1994,2004,2,0,0,0
138.7392029,23.92473,1.02419,0,0,1,0,0,0,0,0,0,0,0,0,1994,2004,3,1,0,0
167.5383851,28.14815,0.09313,0,0,0,1,0,0,0,0,0,0,0,0,1994,2004,4,1,0,0
189.9220802,32.1147,0.43426,0,0,0,0,1,0,0,0,0,0,0,0,1994,2004,5,1,0,0
235.055861,40.16667,0.0254,0,0,0,0,0,1,0,0,0,0,0,0,1994,2004,6,0,1,0
235.475887,40.07168,0.95045,0,0,0,0,0,0,1,0,0,0,0,0,1994,2004,7,0,1,0
214.4956723,39.01434,1.81077,0,0,0,0,0,0,0,1,0,0,0,0,1994,2004,8,0,1,0
186.0348522,36.2963,2.3114,0,0,0,0,0,0,0,0,1,0,0,0,1994,2004,9,0,0,1
163.6719964,29.44444,0.40968,0,0,0,0,0,0,0,0,0,1,0,0,1994,2004,10,0,0,1
137.4359252,21,1.50707,0,0,0,0,0,0,0,0,0,0,1,0,1994,2004,11,0,0,1
123.5223013,19.03226,2.57277,0,0,0,0,0,0,0,0,0,0,0,1,1994,2004,12,0,0,0
118.9214616,18.35125,0.81116,1,0,0,0,0,0,0,0,0,0,0,0,1995,2004,1,0,0,0
126.4095322,23.61111,1.15207,0,1,0,0,0,0,0,0,0,0,0,0,1995,2004,2,0,0,0
141.2286015,24.28315,0.36052,0,0,1,0,0,0,0,0,0,0,0,0,1995,2004,3,1,0,0
161.9459258,26.83333,0.33867,0,0,0,1,0,0,0,0,0,0,0,0,1995,2004,4,1,0,0
190.2443497,31.00358,0.08194,0,0,0,0,1,0,0,0,0,0,0,0,1995,2004,5,1,0,0
223.2152425,37.11111,0,0,0,0,0,0,1,0,0,0,0,0,0,1995,2004,6,0,1,0
235.0428197,39.98208,0.04097,0,0,0,0,0,0,1,0,0,0,0,0,1995,2004,7,0,1,0
201.7019766,38.35125,3.08897,0,0,0,0,0,0,0,1,0,0,0,0,1995,2004,8,0,1,0
199.8461315,35.94444,1.43933,0,0,0,0,0,0,0,0,1,0,0,0,1995,2004,9,0,0,1
174.8620194,32.75986,0.09832,0,0,0,0,0,0,0,0,0,1,0,0,1995,2004,10,0,0,1
147.6300873,26.5,0.59267,0,0,0,0,0,0,0,0,0,0,1,0,1995,2004,11,0,0,1
136.4473909,20.73477,0.09832,0,0,0,0,0,0,0,0,0,0,0,1,1995,2004,12,0,0,0
139.8676257,21.50538,0.05735,1,0,0,0,0,0,0,0,0,0,0,0,1996,2004,1,0,0,0
137.8594289,24.16667,0.78014,0,1,0,0,0,0,0,0,0,0,0,0,1996,2004,2,0,0,0
149.1143301,24.28315,0.36052,0,0,1,0,0,0,0,0,0,0,0,0,1996,2004,3,1,0,0
181.1582232,30.2963,0,0,0,0,1,0,0,0,0,0,0,0,0,1996,2004,4,1,0,0
220.0429753,36.29032,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,2004,5,1,0,0
