"c.arima_fit.coef."	"c.pval."
"ar1"	0.485171394640887	0
"sar1"	0.229224433705352	0.000269441644940027
"Tem"	1.06010510535571	2.0350428009408e-09
"Pre"	-2.80204790849268	4.5879860577358e-08
"M1"	9075.86347397715	0
"M2"	9077.65714422796	0
"M3"	9082.33160069725	0
"M4"	9098.94190354645	0
"M5"	9124.92055511968	0
"M6"	9144.08462675423	0
"M7"	9133.84016071913	0
"M8"	9120.57170507079	0
"M9"	9115.24029895905	0
"M10"	9105.65501789473	0
"M11"	9091.81408769665	0
"M12"	9076.75935466476	0
"Byear"	-4.47324407322387	0
