"c.arima_fit.coef."	"c.pval."
"ar1"	0.592354969712889	0
"sar1"	0.284840192775992	1.08483283072225e-05
"Tem"	1.04188691708929	2.69984581358074e-08
"Pre"	-2.78540778856324	6.55879690558692e-08
"M1"	2863.34346106588	9.20319198627340e-09
"M2"	2865.20539238824	8.98188790010579e-09
"M3"	2869.97940987013	8.48152548194037e-09
"M4"	2886.64176745055	6.95323287835947e-09
"M5"	2912.7049636591	5.0913671056918e-09
"M6"	2931.9489243888	4.03621958078304e-09
"M7"	2921.70474161808	4.5707355678104e-09
"M8"	2908.43309663842	5.36206501422498e-09
"M9"	2903.06612745142	5.71138780713909e-09
"M10"	2893.34158624925	6.40089359293938e-09
"M11"	2879.4087850447	7.54304352312829e-09
"M12"	2864.26491316109	9.00473007270364e-09
"Year"	-1.37829343036232	3.11437695632577e-08
